Position,Position [µm],C,O,Si,Ca,Zr,In,Pt,S,Cu,Ga,MSS,N
135,0.607632094,81.91913922,11.92562355,1.711838195,0.139296658,0.078931014,0.010554473,0.005984463,0.06543568,0,0,0.045633769,4.097562982
136,0.612133072,81.694279,11.68590405,1.73016673,0.0950225,0.040272348,0.026294408,0.005984463,0.11001054,0,0,0.059182232,4.552883728
137,0.616634051,81.12105561,11.79720258,1.861209848,0.084630532,0,0.037525116,0.005984463,0.139721904,0,0,0.116734706,4.835935239
138,0.621135029,80.61523319,12.28907447,1.948590837,0.043587254,0,0.037525116,0,0.177136372,0,0,0.192354271,4.696498493
139,0.625636008,79.88582624,13.10955156,1.997980909,0.024575456,0,0.037525116,0,0.156681675,0,0,0.231753955,4.556105084
140,0.630136986,79.76699081,13.50996305,2.035525612,0.0193292,0,0.026970643,0,0.151037254,0,0,0.250549058,4.239634369
141,0.634637965,79.71177794,13.7736684,2.024128347,0.039777458,0,0.011230708,0,0.113795787,0,0,0.233931856,4.09168951
142,0.639138943,80.09961051,13.60807411,1.920354773,0.041020254,0,0.006166199,0,0.081724772,0,0,0.201658644,4.041390734
143,0.643639922,80.59809905,13.05257006,1.856580695,0.041020254,0,0.019564511,0,0.045081341,0,0,0.167235377,4.219848719
144,0.6481409,81.42522095,12.31546221,1.844917684,0.041020254,0,0.025655537,0.012022513,0.07465198,0,0,0.127835692,4.133213173
145,0.652641879,81.87835108,11.94942168,1.941167999,0.034360207,0,0.025655537,0.012022513,0.089860286,0,0,0.160312936,3.908847761
146,0.657142857,81.88564904,11.86730116,2.053828709,0.013911949,0,0.025655537,0.012022513,0.117332005,0,0,0.158426236,3.865872856
147,0.661643836,82.00143308,11.65016275,2.143793034,0,0,0.030023195,0.012022513,0.107665224,0,0,0.203322817,3.851577391
148,0.666144814,82.33901416,11.4523508,2.096961169,0,0,0.025503819,0.012022513,0.121087154,0,0,0.198527053,3.75453333
149,0.670645793,82.46835166,11.29638186,2.071450552,0,0,0.027691856,0,0.106588924,0,0,0.228225659,3.801309493
150,0.675146771,82.51642639,11.14826944,1.968561364,0,0,0.027691856,0,0.094588754,0,0,0.184684724,4.059777466
151,0.67964775,83.01287731,10.8452334,1.835302486,0,0,0.027691856,0,0.059783642,0,0,0.154204085,4.064907217
152,0.684148728,83.47749598,10.63882773,1.721313737,0,0,0.017157999,0,0.06454416,0,0,0.098844569,3.981815822
153,0.688649706,83.79910613,10.53913696,1.710832641,0,0,0.008279063,0,0.072982431,0,0,0.077639641,3.792023137
154,0.693150685,83.62818443,10.68473578,1.74398393,0,0,0,0,0.094704528,0,0,0.068655242,3.779736094
155,0.697651663,83.58199862,10.90425876,1.767813456,0.005819762,0.015244846,0,0,0.103115239,0,0,0.07137767,3.550371643
156,0.702152642,83.36688883,11.1242648,1.777656819,0.005819762,0.043169025,0,0,0.114584422,0,0,0.066588685,3.501027663
157,0.70665362,83.36801164,11.25548247,1.779557767,0.005819762,0.069694481,0.00897645,0,0.11338103,0,0,0.051772358,3.347304042
158,0.711154599,82.74249523,11.4113861,1.79058768,0.005819762,0.09775187,0.037461061,0,0.106437875,0,0,0.036576753,3.771483671
159,0.715655577,82.79370888,11.20656025,1.724035195,0.005819762,0.125952,0.066090586,0,0.092808412,0,0,0.015862547,3.969162374
160,0.720156556,82.65662067,10.99214155,1.641514917,0,0.110707154,0.086719853,0,0.086542894,0,0,0.010571598,4.415181365
161,0.724657534,83.04629112,10.73470323,1.564584538,0,0.082782974,0.091664977,0.004880362,0.075073711,0,0,0.010571598,4.389447493
162,0.729158513,82.84231463,10.67848518,1.486140801,0,0.056257518,0.082688527,0.018127572,0.069592646,0,0,0.010571598,4.755821521
163,0.733659491,83.33598752,10.46961201,1.375662988,0,0.028200129,0.054203916,0.026405908,0.051635215,0,0,0.010571598,4.647720719
164,0.73816047,83.44693607,10.29538565,1.288183554,0,0,0.029297241,0.033754098,0.028470171,0,0,0.010571598,4.867401615
165,0.742661448,83.65981136,10.05850879,1.252315906,0,0,0.01270347,0.033754098,0.015951331,0,0,0.008272061,4.958682987
166,0.747162427,83.66784179,9.853091913,1.231592238,0,0,0.02690833,0.040213251,0.015951331,0,0,0.02397371,5.140427442
167,0.751663405,84.12535572,9.777475905,1.237240611,0,0,0.051389633,0.035019604,0.00509036,0,0,0.061610504,4.706817665
168,0.756164384,84.07862775,9.933783076,1.240151863,0,0,0.067021712,0.034454947,0,0,0,0.085642776,4.56031788
169,0.760665362,84.08341948,10.16678232,1.241506009,0.017994046,0,0.063298862,0.027106757,0,0,0,0.122426675,4.277465852
170,0.765166341,84.16276846,10.13939658,1.239873861,0.036479126,0.0121054,0.059263366,0.027106757,0,0,0,0.13094914,4.192057302
